cluster,gene
ground state Fib,CCDC80
ground state Fib,PTN
ground state Fib,DPT
ground state Fib,ABCA8
ground state Fib,FBLN1
ground state Fib,SCN7A
ground state Fib,PI16
ground state Fib,DCN
ground state Fib,LUM
ground state Fib,MMP2
ground state Fib,ABCA6
ground state Fib,SPRY1
ground state Fib,LTBP1
ground state Fib,C7
ground state Fib,SVEP1
ground state Fib,FMO2
ground state Fib,COL15A1
ground state Fib,COL8A1
ground state Fib,LAMA2
ground state Fib,LAMC1
ground state Fib,PDGFRA
ground state Fib,TCF21
ground state Fib,FIBIN
ground state Fib,GAS1
ground state Fib,TNXB
ground state Fib,PCDH9
ground state Fib,CES1
ground state Fib,FBLN5
ground state Fib,LAMB1
ground state Fib,FAM198B
ground state Fib,PTGIS
ground state Fib,VEGFD
ground state Fib,PCSK6
ground state Fib,HSPG2
ground state Fib,SPRY2
ground state Fib,DEPP1
ground state Fib,DST
ground state Fib,WISP2
Myofibroblast,MT1M
Myofibroblast,ID4
Myofibroblast,PPP1R14A
Myofibroblast,MT1A
Myofibroblast,NOV
Myofibroblast,TGM2
Myofibroblast,ITGA1
Myofibroblast,C1QTNF1
Myofibroblast,LMOD1
Myofibroblast,MYLK
Myofibroblast,FBLIM1
Myofibroblast,C12orf75
Myofibroblast,NPY1R
Myofibroblast,RGS7BP
Myofibroblast,MYL9
Myofibroblast,KCNK17
Myofibroblast,ACTA2
Myofibroblast,FHL1
Myofibroblast,RARRES2
Myofibroblast,IGFBP7
Myofibroblast,INMT
Myofibroblast,TAGLN
Myofibroblast,ANKRD29
Myofibroblast,MT2A
Myofibroblast,CCDC3
Myofibroblast,PAWR
Myofibroblast,CDC42EP3
Myofibroblast,TNFRSF11B
Myofibroblast,COL21A1
Myofibroblast,TPM2
Myofibroblast,ART4
Myofibroblast,CFH
Myofibroblast,CPE
Myofibroblast,EPAS1
Myofibroblast,MT1E
Myofibroblast,TCEAL4
Myofibroblast,PLCXD3
Myofibroblast,ID3
Myofibroblast,FRZB
Myofibroblast,RCAN2
Myofibroblast,CCDC146
Myofibroblast,SMAD6
Myofibroblast,MT1X
Myofibroblast,ID1
Myofibroblast,HTR2B
Myofibroblast,SEPTIN4
Myofibroblast,A2M
Myofibroblast,MYH10
Myofibroblast,ITGA8
Myofibroblast,FGL2
Myofibroblast,CHCHD10
Myofibroblast,TPM1
Myofibroblast,CALD1
Myofibroblast,SLC16A9
Myofibroblast,AEBP1
Myofibroblast,ADIRF
Myofibroblast,LMCD1
Myofibroblast,IGFBP3
Myofibroblast,SYNPO
Myofibroblast,NEXN
Myofibroblast,BGN
Myofibroblast,SFTA1P
Myofibroblast,CA3
Myofibroblast,DAAM1
Myofibroblast,CNN2
Myofibroblast,TSPAN8
Myofibroblast,GUCY1A1
Myofibroblast,AGT
Myofibroblast,ALDH1A1
Myofibroblast,GADD45B
Myofibroblast,GAS6
Myofibroblast,RPL21
Myofibroblast,CNN1
Myofibroblast,RPS27
Myofibroblast,NOTCH3
Myofibroblast,PPP1CB
Myofibroblast,ADH1B
Myofibroblast,RAPGEF5
Myofibroblast,RPS23
Myofibroblast,CDH2
Myofibroblast,TSC22D1
Myofibroblast,PTMA
Myofibroblast,TOMM7
Myofibroblast,SAMHD1
Myofibroblast,RPL37A
Myofibroblast,MICAL2
Myofibroblast,RPLP1
Myofibroblast,NR2F2
Myofibroblast,GPC6
Myofibroblast,RPS27A
Myofibroblast,IGFBP2
Myofibroblast,ID2
Myofibroblast,TINAGL1
Myofibroblast,RPL30
Myofibroblast,RPL3
Myofibroblast,SLC38A2
Myofibroblast,TMSB4X
Myofibroblast,CDH13
Myofibroblast,FXYD1
Myofibroblast,RPL41
Myofibroblast,PLPP1
Myofibroblast,EFEMP1
Myofibroblast,AQP1
Myofibroblast,FTL
Myofibroblast,F10
Myofibroblast,RPL5
Myofibroblast,RPS25
Myofibroblast,ACTN1
