cluster,gene
CXCL10+CCL19+ C11 Marginal,CCL19
CXCL10+CCL19+ C11 Marginal,CXCL10
CXCL10+CCL19+ C11 Marginal,RBP5
CXCL10+CCL19+ C11 Marginal,HLA-DRA
CXCL10+CCL19+ C11 Marginal,CD74
CXCL10+CCL19+ C11 Marginal,HLA-DRB1
CXCL10+CCL19+ C11 Marginal,IL32
CXCL10+CCL19+ C11 Marginal,IRF8
CXCL10+CCL19+ C11 Marginal,OASL
CXCL10+CCL19+ C11 Marginal,CXCL11
CXCL10+CCL19+ C11 Marginal,CCL2
CXCL10+CCL19+ C11 Marginal,TNFSF13B
CXCL10+CCL19+ C11 Marginal,PLA1A
CXCL10+CCL19+ C11 Marginal,BIRC3
CXCL10+CCL19+ C11 Marginal,ADAP1
CXCL10+CCL19+ C11 Marginal,HAPLN3
CXCL10+CCL19+ C11 Marginal,IFIT3
CXCL10+CCL19+ C11 Marginal,IFIT2
CXCL10+CCL19+ C11 Marginal,CXCL2
CXCL10+CCL19+ C11 Marginal,ADRA2A
CXCL10+CCL19+ C11 Marginal,RSAD2
CXCL10+CCL19+ C11 Marginal,GBP1
CXCL10+CCL19+ C11 Marginal,CCL5
CXCL10+CCL19+ C11 Marginal,TNFSF10
CXCL10+CCL19+ C11 Marginal,PTGDS
CXCL10+CCL19+ C11 Marginal,CXCL9
CXCL10+CCL19+ C11 Marginal,GBP4
CXCL10+CCL19+ C11 Marginal,WARS1
CXCL10+CCL19+ C11 Marginal,ICAM1
CXCL10+CCL19+ C11 Marginal,ISG15
CXCL10+CCL19+ C11 Marginal,C3
CXCL10+CCL19+ C11 Marginal,POPDC2
CXCL10+CCL19+ C11 Marginal,GCH1
CXCL10+CCL19+ C11 Marginal,TDO2
CXCL10+CCL19+ C11 Marginal,CALHM6
CXCL10+CCL19+ C11 Marginal,ETV7
CXCL10+CCL19+ C11 Marginal,IL4I1
CXCL10+CCL19+ C11 Marginal,CLSTN3
CXCL10+CCL19+ C11 Marginal,CTSS
CXCL10+CCL19+ C11 Marginal,GBP5
CXCL10+CCL19+ C11 Marginal,SLCO2B1
CXCL10+CCL19+ C11 Marginal,HLA-DQA1
CXCL10+CCL19+ C11 Marginal,TNFAIP3
CXCL10+CCL19+ C11 Marginal,IL34
CXCL10+CCL19+ C11 Marginal,CHI3L2
CXCL10+CCL19+ C11 Marginal,CXCL3
CXCL10+CCL19+ C11 Marginal,IL18BP
CXCL10+CCL19+ C11 Marginal,HLA-DMB
CXCL10+CCL19+ C11 Marginal,HLA-DPA1
CXCL10+CCL19+ C11 Marginal,LAP3
CXCL10+CCL19+ C11 Marginal,HLA-DQB1
CXCL10+CCL19+ C11 Marginal,CCL13
CXCL10+CCL19+ C11 Marginal,SOD2
CXCL10+CCL19+ C11 Marginal,IDO1
CXCL10+CCL19+ C11 Marginal,IL33
CXCL10+CCL19+ C11 Marginal,IFI44L
CXCL10+CCL19+ C11 Marginal,CYP7B1
CXCL10+CCL19+ C11 Marginal,EPSTI1
CXCL10+CCL19+ C11 Marginal,NFKBIE
CXCL10+CCL19+ C11 Marginal,EXOC3L4
CXCL10+CCL19+ C11 Marginal,HLA-DMA
CXCL10+CCL19+ C11 Marginal,RELB
CXCL10+CCL19+ C11 Marginal,CTSH
CXCL10+CCL19+ C11 Marginal,C7
CXCL10+CCL19+ C11 Marginal,HLA-DRB5
CXCL10+CCL19+ C11 Marginal,IRF1
CXCL10+CCL19+ C11 Marginal,HLA-DOB
CXCL10+CCL19+ C11 Marginal,COLCA2
CXCL10+CCL19+ C11 Marginal,CCL8
CXCL10+CCL19+ C11 Marginal,TNFRSF4
CXCL10+CCL19+ C11 Marginal,TNFAIP2
CXCL10+CCL19+ C11 Marginal,OR2I1P
CXCL10+CCL19+ C11 Marginal,NFKB2
CXCL10+CCL19+ C11 Marginal,UGCG
CXCL10+CCL19+ C11 Marginal,MSC
CXCL10+CCL19+ C11 Marginal,GP1BA
CXCL10+CCL19+ C11 Marginal,PSMB9
CXCL10+CCL19+ C11 Marginal,STAT1
CXCL10+CCL19+ C11 Marginal,CMPK2
CXCL10+CCL19+ C11 Marginal,CCL21
CXCL10+CCL19+ C11 Marginal,PSME2
CXCL10+CCL19+ C11 Marginal,CD274
CXCL10+CCL19+ C11 Marginal,VCAM1
CXCL10+CCL19+ C11 Marginal,DAZL
CXCL10+CCL19+ C11 Marginal,OAS1
CXCL10+CCL19+ C11 Marginal,APLNR
CXCL10+CCL19+ C11 Marginal,CD200
CXCL10+CCL19+ C11 Marginal,LSAMP
