cluster,gene
c01,MYH11
c01,ADIRF
c01,RERGL
c01,ACTA2
c01,PLN
c01,RGS5
c01,MYL9
c01,TAGLN
c01,BCAM
c01,DSTN
c01,CRIP1
c01,SNCG
c01,MCAM
c01,TPM2
c01,CSRP2
c01,SORBS2
c01,PTP4A3
c01,TINAGL1
c01,NET1
c01,MTRNR2L8
c01,CNN1
c01,LBH
c01,NDUFA4L2
c01,GJA4
c01,MYLK
c01,CRIP2
c01,ACTG2
c01,SPARCL1
c01,CSRP1
c01,LMOD1
c01,PPP1R14A
c01,MAP3K7CL
c01,TSC22D1
c01,MEF2C
c01,NOTCH3
c01,C11orf96
c01,SOD3
c01,ISYNA1
c01,CRYAB
c01,PHLDA2
c01,MT1M
c01,FLNA
c01,CAV1
c01,JAG1
c01,PGF
c01,CAV2
c01,MFGE8
c01,EFHD1
c01,FRZB
c01,C1QTNF1
c01,HES4
c01,MYL6
c01,PDK4
c01,GADD45B
c01,RCAN2
c01,ESAM
c01,NTRK2
c01,EPAS1
c01,TPM1
c01,GPRC5C
c01,NUDT4
c01,COX4I2
c01,LPP
c01,ADAMTS1
c01,CASQ2
c01,CCDC3
c01,MTHFD2
c01,ACTN4
c01,PPP1R12A
c01,MAP1B
c01,OAZ2
c01,PDGFA
c01,RHOB
c01,SH3BGRL
c01,PPP1R12B
c01,CPM
c01,C12orf75
c01,PTK2
c01,ARPC1A
c01,MGST3
c01,TNS1
c01,MTRNR2L12
c01,ZFHX3
c01,HSPB1
c01,LGI4
c01,MT1E
c01,SEPT4
c01,FAM129A
c01,NDUFA4
c01,UBA2
c01,WFDC1
c01,ACTB
c01,PTMA
c01,CALM2
c01,MT1X
c01,AOC3
c01,FHL5
c01,TBX2
c01,SYNPO2
c01,ITGA7
c01,CD151
c01,NRGN
c01,FKBP5
c01,CLMN
c01,KLHL23
c01,PRKCDBP
c01,SERPINI1
c01,TOB1
c01,CDKN1A
c01,CDH6
c01,KCNMB1
c01,MSRB3
c01,CCDC107
c01,PCSK7
c01,CAVIN3
c01,MAPRE2
c01,CRIM1
c01,CALD1
c01,SLC25A4
c01,ANGPT2
c01,COL18A1
c01,KCNAB1
c01,MRVI1
c01,SGCA
c01,ROCK1
c01,ID4
c01,HEYL
c01,TBC1D1
c01,RASL12
c01,CARMN
c01,IGFBP7
c01,FOXS1
c01,PARM1
c01,SELENOW
c01,C2orf40
c01,FABP4
c01,SORT1
c01,SEPT7
c01,PLS3
c01,HIGD1B
c01,COX7A1
c01,OLFML2A
c01,COX7A2
c01,UTRN
c01,CSPG4
c01,PPP1CB
c01,EHD2
c01,WDR1
c01,FILIP1
c01,PTRF
c01,RASD1
c01,IGFBP5
c01,EDNRA
c01,TGFB1I1
c01,SYNM
c01,SYNE2
c01,ARHGDIB
c01,CAP2
c01,NRIP2
c01,CKB
c01,ZBTB16
c01,SYNGR2
c01,NEXN
c01,RBPMS2
c01,MOB2
c01,ACTN1
c01,ARHGAP29
c01,COX17
c01,KANK2
c01,SEPW1
c01,GUCY1A3
c01,EPS8
c01,ILK
c01,HCFC1R1
c01,BGN
c01,NOL3
c01,ANAPC16
c01,FXYD1
c01,S100A4
c01,MGLL
c01,TMEM38B
c01,LAMA5
c01,NDRG2
c01,PDLIM5
c01,CHCHD10
c01,CCND1
c01,RBPMS
c01,ID3
c01,CYSTM1
c01,CD9
c01,COX5B
c01,TLN1
c01,COX6A1
c01,HEY2
c01,NDUFB7
c01,RASGRP2
c01,LHFPL6
c01,ARPC5
c01,INPP4B
c01,DMPK
c01,HSPB6
c01,STOM
c01,TTLL7
c01,BTG2
c01,PDE3A
c01,PACSIN2
c01,ANXA6
c01,NR2F2
c01,UQCRB
c01,ARID5A
c01,NR4A1
c01,CAMK2G
c01,MRGPRF
c01,KCNE4
c01,ATP5I
c01,HSPB8
c01,SBDS
c01,PDLIM3
c01,ARHGEF17
c01,PDE5A
c01,PDLIM7
c01,ATP5MC2
c01,RASL11A
c01,PDGFRB
c01,CPE
c01,FRY
c01,USMG5
c01,COBLL1
c01,SLC7A2
c01,MRPL33
c01,CAMTA1
c01,RGS16
c01,ATP2B4
c01,TMEM47
c01,HIST1H4C
c01,ARHGEF7
c01,LTBP1
c01,CHURC1
c01,SORBS3
c01,COX6C
c01,ADAMTS4
c01,PHLDB2
c01,FADS3
c01,GJC1
c01,EEF1G
c01,RSU1
c01,SLMAP
c01,KIAA0040
c01,B3GNT2
c01,CALM1
c01,CAP1
c01,COX14
c01,NFASC
c01,GBP2
c01,SELM
c01,COX8A
c01,NTN4
c01,NDUFB10
c01,CFL2
c01,C9orf3
c01,ENTPD1
c01,SLIT3
c01,FDFT1
c01,ATF3
c01,PNRC1
c01,C12orf57
c01,FAU
c01,PLP2
c01,PPDPF
c01,FBXO32
c01,HSDL2
c01,ABTB1
c01,CABIN1
c01,ID1
c01,HIP1
c01,COX7B
c01,IFITM1
c01,HLA-C
c01,VCL
c01,JUNB
c01,PHLDA1
c01,ALDOA
c01,NDUFB9
c01,ARHGAP10
c01,RERG
c01,MAP7D3
c01,H2AFJ
c01,MYH9
c01,SKP1
c01,PKIG
c01,PTGIR
c01,PDLIM1
c01,COX7C
c01,VASP
c01,SMTN
c01,C1orf54
c01,SMIM12
c01,YWHAZ
c01,CAPZA2
c01,HMGN3
c01,NGRN
c01,GPX3
c01,H1F0
c01,NDUFB1
c01,CAVIN1
c01,CBX6
c01,TSC22D3
c01,PFN1
c01,PICALM
c01,PSME1
c01,EBF1
c01,MSN
c01,ATP5B
c01,CYB5R3
c01,TOB2
c01,RABGAP1
c01,CALM3
c01,PBXIP1
c01,ADCY3
c01,SYPL1
c01,GAPDH
c01,COX20
c01,YWHAQ
c01,NDUFV2
c01,PLAC9
c01,RAD23A
c01,ANGPT1
c01,BTG1
c01,NDUFA1
c01,UBXN1
c01,UQCR11
c01,CLIC4
c01,ESD
c01,LDHB
c01,TACC1
c01,RHOA
c01,NDUFB4
c01,MPRIP
c01,GSTK1
c01,GSTP1
c01,ATP5G2
c01,IFITM2
c01,PNPLA2
c01,CSDE1
c01,CDKN1B
c01,PDE1A
c01,AK1
c01,ZFYVE21
c01,UQCRC1
c01,MEF2D
c01,EZR
c01,ARPC2
c01,PRKG1
c01,C5orf24
c01,SLC25A5
c01,ZFAND1
c01,NAPA
c01,PPIA
c01,NDUFC1
c01,DBI
c01,CRISPLD2
c01,UQCRQ
c01,IQGAP1
c01,CD46
c01,NDUFS5
c01,LRRC32
c01,KLF2
c01,KTN1
c01,VDAC2
c01,ATP5F1B
c01,EMD
c01,NDUFA12
c01,FIS1
c01,RALY
c01,ANP32B
c01,OSBPL9
c01,NDUFA3
c01,NR4A2
c01,ARL6IP4
c01,PIN1
c01,ARHGAP1
c01,NFIB
c01,CYCS
c01,ACTR3
c01,NDUFA5
c01,VAMP2
c01,CDK2AP2
c01,CRTAP
c02,ADAMDEC1
c02,CCL13
c02,CCL11
c02,MT-RNR2
c02,MT-RNR1
c02,CCL8
c02,IGHA1
c02,CTSC
c02,APOE
c02,RNA18S5
c02,IGJ
c02,C17orf76-AS1
c02,RNA28S5
c02,FABP5
c02,STMN2
c02,LINC01082
c02,CXCL14
c02,HAPLN1
c02,TMEM176B
c02,TCF21
c02,ADAM28
c02,ABCA8
c02,CYGB
c02,TMEM176A
c02,CCL2
c02,SEPP1
c02,IGLC2
c02,MFAP4
c02,PPAP2A
c02,IGHA2
c02,PROCR
c02,EDIL3
c02,RBP1
c02,PITX1
c02,IGLC3
c02,BMP4
c02,IGKC
c02,C8orf4
c02,CARD16
c02,SMPDL3A
c02,MATN2
c02,SCARA5
c02,SOD3
c02,QSOX1
c02,PPAP2B
c02,LTBP4
c02,HAAO
c02,GAS5
c02,PTN
c02,SNHG5
c02,APOC1
c02,RP11-14N7.2
c02,PLAT
c02,WARS
c02,GLTSCR2
c02,SOCS3
c02,SFTA1P
c02,RPL13A
c02,CFD
c02,ATP5G2
c02,IRF1
c02,NKX2-3
c02,WNT2B
c02,VCAM1
c02,SLC9A3R2
c02,GNB2L1
c02,ACP5
c02,ATP5L
c02,IL34
c02,NGFRAP1
c02,RGS10
c02,LSP1
c02,PTCH1
c02,PPP1R14A
c02,SELM
c02,PTGER2
c02,FOXF1
c02,EMID1
c02,RPL7
c02,GNG11
c02,RARRES3
c02,UBE2E3
c02,FBLN1
c02,NHP2L1
c02,DMKN
c02,ATP5O
c02,C2
c02,TNFSF10
c02,ZFP36L2
c02,EMILIN1
c02,ATP5D
c02,PMP22
c02,ITIH5
c02,FENDRR
c02,C1S
c02,A2M
c02,ATP5A1
c02,CASP1
c02,TM4SF1
c02,GPX3
c02,SQRDL
c02,RPS2
c02,RPL3
c02,RAB13
c02,ATP5E
c02,AKR1B1
c02,RPL27A
c02,HES1
c02,CLEC2B
c02,RPS4Y1
c02,SEPW1
c02,C19orf43
c02,COX7C
c02,SF3B14
c02,ZFP36
c02,C6orf48
c02,ADH1B
c02,RPS7
c02,CFH
c02,CP
c02,RPL21
c02,TCEB2
c02,SPRY1
c02,UBB
c02,GPX1
c02,EEF1D
c02,DKK3
c02,ACVRL1
c02,MYEOV2
c02,RPS27
c02,PDLIM1
c02,CLEC11A
c02,C19orf10
c02,GADD45G
c02,LUM
c02,SNAI2
c02,GRK5
c02,NDUFAF4
c02,RARRES2
c02,NOVA1
c02,SGCE
c02,RPL41
c02,RPL31
c02,ATP5G3
c02,PRKCDBP
c02,RPL18A
c02,ATP5F1
c02,ATPIF1
c02,S100A13
c02,ATP5J
c02,RPLP2
c02,GSTM3
c02,RPS19
c02,PPA1
c02,TMEM66
c02,RPS6
c02,IL6ST
c02,CYBA
c02,RPS9
c02,HNRNPA1
c02,C1R
c02,U2AF1
c02,C1orf21
c02,FHL2
c02,RPS15A
c02,C14orf2
c02,CD63
c02,JUN
c02,PTGDS
c02,C14orf166
c02,ATP5H
c02,ATP5J2
c02,RPL35
c02,PRNP
c02,NBEAL1
c02,RPL13
c02,SHFM1
c02,GPC6
c02,RPL26
c02,FABP4
c02,RPS12
c02,RPS20
c02,ATP5B
c02,ADM
c02,FTH1
c02,LGALS3BP
c02,JUNB
c02,SERPINB6
c02,RPS16
c02,RPL27
c02,PCDH18
c02,RPL15
c02,RPL10A
c02,RPS27A
c02,GGT5
c02,RPL10
c02,RPL6
c02,SNHG6
c02,PSME2
c02,ETS2
c02,BSG
c02,RPL4
c02,GCSH
c02,PYCARD
c02,PBX1
c02,RPS28
c02,HLA-C
c02,C19orf60
c02,TMEM205
c02,ITM2C
c02,RPS29
c02,RPS18
c02,TMEM59
c02,FHL1
c02,NDN
c02,45184
c02,FAM127A
c02,LINC00493
c02,C11orf31
c02,PSME1
c02,EPHX1
c02,PSMB9
c02,C17orf89
c02,TLE4
c02,TSPAN4
c02,TYMP
c02,FOS
c02,ATP5G1
c02,ATP5C1
c02,TMSB4X
c02,EDF1
c02,WBP5
c02,C7orf73
c02,ECM1
c02,COX4I1
c02,PGRMC1
c02,RGS2
c02,SNX3
c02,IFI27L2
c02,C11orf73
c02,RPL38
c02,IGFBP3
c02,B2M
c02,NDUFB8
c02,TMBIM4
c02,SIGIRR
c02,RPS3A
c02,TMEM256
c02,CSF1
c02,SELT
c02,RPS5
c02,IER2
c02,RPL23A
c02,TMEM98
c02,RPL32
c02,NDUFA11
c02,C4orf3
c02,HMGN2
c02,EEF1A1
c02,SLC25A6
c02,AKR7A2
c02,RPL34
c02,FARP1
c02,ATP5I
c03,APOD
c03,C3
c03,CFD
c03,PTGDS
c03,GSN
c03,SRPX
c03,IGF1
c03,CXCL12
c03,CCDC80
c03,ITM2A
c03,DPT
c03,ADH1B
c03,CFH
c03,FBLN1
c03,MGST1
c03,DCN
c03,SVEP1
c03,CXCL14
c03,ABCA10
c03,ABCA6
c03,SFRP2
c03,NOVA1
c03,GPC3
c03,SERPINF1
c03,LRP1
c03,SPRY1
c03,GPNMB
c03,MGP
c03,FGF7
c03,IGFBP4
c03,RARRES1
c03,ABCA9
c03,RNASE4
c03,C1S
c03,SERPING1
c03,SEPP1
c03,ALDH1A1
c03,FBLN2
c03,EFEMP1
c03,CHRDL1
c03,PODN
c03,FGL2
c03,COL15A1
c03,C1R
c03,PDGFRL
c03,ABCA8
c03,HSPB6
c03,NFIA
c03,CYBRD1
c03,ZFP36L2
c03,ABI3BP
c03,TXNIP
c03,OGN
c03,LAMA2
c03,MFAP4
c03,PLTP
c03,BOC
c03,FBLN5
c03,FXYD1
c03,MT1X
c03,ADD3
c03,SLIT3
c03,CST3
c03,PLPP3
c03,NFIB
c03,GLUL
c03,EPHX1
c03,RASD1
c03,TSHZ2
c03,GPX3
c03,PIK3R1
c03,MT-ND4L
c03,PLA2G2A
c03,APOE
c03,CD248
c03,C7
c03,CD34
c03,MYCBP2
c03,DCLK1
c03,LGALS3
c03,S100A13
c03,TCF7L2
c03,TNFAIP2
c03,OLFML3
c03,METTL7A
c03,LIMA1
c03,ANGPTL1
c03,MT-ATP8
c03,REV3L
c03,PLAC9
c03,HSPG2
c03,BICC1
c03,RGMA
c03,RUNX1T1
c03,PDK4
c03,LHFP
c03,SOD3
c03,SELENOP
c03,PID1
c03,PDGFRA
c03,TGFBR3
c03,WISP2
c03,SSPN
c03,TNXB
c03,CPXM1
c03,PRNP
c03,PSAP
c03,STEAP2
c03,MTRNR2L12
c03,EEF1G
c03,SMOC2
c03,PRELP
c03,CELF2
c03,FCGRT
c03,LSP1
c03,ZBTB20
c03,NEGR1
c03,ITIH5
c03,PLAGL1
c03,S100A6
c03,LAPTM4A
c03,AHNAK
c03,SPTBN1
c03,TMEM176A
c03,PLEKHH2
c03,GABARAP
c03,SAMHD1
c03,NFIX
c03,TWIST2
c03,ARL6IP5
c03,LTBP4
c03,IGFBP6
c03,TNFSF10
c03,CTSK
c03,EBF1
c03,STEAP1
c03,GSTM5
c03,CTSF
c03,GAS6
c03,SLIT2
c03,COLEC12
c03,SGCE
c03,GRINA
c03,IFITM1
c03,CILP
c03,COL14A1
c03,IFI16
c03,EMP1
c03,CYB5A
c03,PRRX1
c03,PLBD1
c03,LRRN4CL
c03,S100A10
c03,SCPEP1
c03,KRTCAP2
c03,CTSH
c03,WSB1
c03,PMP22
c03,DAB2
c03,PNISR
c03,MAFB
c03,SRSF5
c03,MAN1A1
c03,PCDH18
c03,IFNGR1
c03,PLSCR4
c03,TFPI
c03,ASPH
c03,LAMC1
c03,CPE
c03,PCOLCE
c03,PROS1
c03,TCF4
c03,KCTD12
c03,C1orf21
c03,MT-ND3
c03,LAMB1
c03,ATP6V0C
c03,RBMS3
c03,SERPINE2
c03,GAS1
c03,TGFBR2
c03,ISLR
c03,MT-ND6
c03,MT1M
c03,NFIC
c03,SEC62
c03,CHD9
c03,SH3BP5
c03,NPC2
c03,IL6ST
c03,CPQ
c03,SON
c03,FGFR1
c03,EGR1
c03,NUPR1
c03,ZFP36
